"","x"
"1",1.37416605371891
"2",2.08018723566784
"3",0.176353416241
"4",1.71409864545967
"5",0.39202264674168
"6",2.29470129120364
"7",4.85272307698961
"8",0.0558927033516738
"9",3.32584174689327
"10",0.0778492877388999
"11",0.140032889635222
"12",0.254935027016472
"13",0.0338123881756474
"14",0.053429964861607
"15",0.884904470321999
"16",1.65174971868328
"17",1.10694430067815
"18",1.45797878398389
"19",0.00113712027814472
"20",0.555958796597224
"21",0.0573297962964716
"22",0.555474685822446
"23",0.423953409374917
"24",2.12431210951308
"25",2.15079572527247
"26",0.349011073234578
"27",0.038839870292577
"28",0.0129435964190634
"29",1.17076214874942
"30",0.264011826762726
"31",1.12767770508435
"32",2.80554267318803
"33",0.195039110690232
"34",0.381525316337502
"35",4.66430389487869
"36",2.49305741787975
"37",0.764425990206291
"38",1.10240903775411
"39",0.192175536416471
"40",0.213330981197942
"41",3.99357299305575
"42",0.0232801293404918
"43",0.869805405794068
"44",0.611912987951655
"45",0.0885218430676105
"46",0.0712045371637942
"47",0.0403488158199252
"48",3.96557820456383
"49",3.34788290216147
"50",0.000334453828145342
"51",0.598610047488364
"52",3.23013528502906
"53",0.210930957760866
"54",2.4798466064467
"55",2.51447937350349
"56",0.808386123782839
"57",0.440461948400298
"58",1.46749945830743
"59",0.246868065417402
"60",0.23399984324351
"61",2.10519724521964
"62",0.0116563394904006
"63",2.49264104647409
"64",0.0417275703903215
"65",0.184831811153344
"66",0.558233805765667
"67",2.80698877419763
"68",0.0590490073691399
"69",0.177250837203246
"70",0.696107792738985
"71",0.246880671470535
"72",0.0355737360805506
"73",2.80967518893067
"74",0.0374251848734275
"75",1.0166673396734
"76",1.28949002415447
"77",1.00142730814514
"78",0.358513944457627
"79",0.454905154816515
"80",0.0338418181418092
"81",0.0111802329556667
"82",6.48462692218618
"83",1.1241941151111
"84",3.71125564289014
"85",0.265117246151931
"86",0.323227666328421
"87",0.486820477041874
"88",2.69406697563045
"89",4.0412207476038
"90",11.2248504706095
"91",2.32110068357269
"92",0.975817040009133
"93",0.157927671631114
"94",0.0645343980095276
"95",0.7931616066071
"96",0
"97",0.472700952826926
"98",0.0309259714385917
"99",0.297076472150366
"100",0.0958311558460991
